idx,subdir,puzzle,expected,status,solved,time_sec
0,9_sat,9_sat/sat_000.txt,SAT,SAT,True,145.7222599159868
1,9_sat,9_sat/sat_001.txt,SAT,SAT,True,21.419588457996724
2,9_sat,9_sat/sat_002.txt,SAT,SAT,True,0.610730832995614
3,9_sat,9_sat/sat_003.txt,SAT,SAT,True,8.848618167001405
4,9_sat,9_sat/sat_004.txt,SAT,SAT,True,4.752818042004947
5,9_sat,9_sat/sat_005.txt,SAT,SAT,True,6.129675165997469
6,9_sat,9_sat/sat_006.txt,SAT,SAT,True,193.291004084007
7,9_sat,9_sat/sat_007.txt,SAT,SAT,True,3.1635974579985486
8,9_sat,9_sat/sat_008.txt,SAT,SAT,True,6.218984374994761
9,9_sat,9_sat/sat_009.txt,SAT,SAT,True,98.00668191700242
